cluster_id,keywords,cluster_name,experiment_id,umap_params,hdbscan_params
-1,"['firefox font rendering', 'duo authentication failure', 'font rendering error', 'incorrect account statement', 'firefox ui misalignment', 'dwh connection failure', 'webdirect login failure', 'transaction datum lock', 'firefox display misalignment', 'olb login failure', 'web server log', 'webdirect login failure', 'athena login failure', 'password reset failure', 'font render discrepancy', 'button alignment issue', 'web server log', 'fedline connection error', 'mfa login failure', 'mfa login failure', 'mfa login failure', 'safari font distortion', 'cif database performance', 'duo security failure', 'pdf font display', 'duo security failure', 'cif query performance', 'statement archive failure', 'statement font distortion', 'css styling misalignment', 'finacle query timeout', 'web server log', 'safari font size', 'duo mfa failure']",Cluster -1 (Noise),umap_3_hdbscan_1,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
0,"['atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'ncr card reader failure', 'atm card reader', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm cassette jam', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader', 'atm card reader failure', 'atm chip reader', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card read failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'ncr card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'ncr card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure']",Cluster 0,umap_3_hdbscan_1,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
1,"['fraudulent login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login attempt', 'suspicious login attempt', 'suspicious login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'unusual login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious mobile login', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'unusual login activity', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity']",Cluster 1,umap_3_hdbscan_1,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
2,"['atm cash dispenser', 'atm deposit failure', 'atm cash jam', 'atm deposit failure', 'atm cash dispense', 'atm cash dispense', 'atm cash error', 'atm cash dispense', 'atm cash dispense', 'atm cash dispense failure', 'atm cash error']",Cluster 2,umap_3_hdbscan_1,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
3,"['atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention']",Cluster 3,umap_3_hdbscan_1,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
4,"['fraudulent transaction alert', 'fraudulent transaction alert', 'high risk transaction', 'fraudulent transaction alert']",Cluster 4,umap_3_hdbscan_1,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
5,"['fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent transfer attempt', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer']",Cluster 5,umap_3_hdbscan_1,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
6,"['android app crash', 'android app crash', 'android app crash', 'android app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'android app crash', 'ios app crash', 'ios app crash', 'android app crash', 'android app crash', 'ios app crash', 'android app crash', 'ios app crash', 'ios app crash', 'android app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios crash report', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'android app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios crash report', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios crash report', 'ios crash report', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash']",Cluster 6,umap_3_hdbscan_1,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
7,"['ios transaction history', 'ios transaction crash', 'ios transaction crash', 'ios transaction crash']",Cluster 7,umap_3_hdbscan_1,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
8,"['ios bill payment crash', 'ios bill payment crash', 'ios bill payment crash', 'ios bill payment crash', 'ios bill payment crash', 'ios bill payment crash']",Cluster 8,umap_3_hdbscan_1,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
