keyphrase,cluster_id,document_id,experiment_id
recur charge inquiry,9,688da4a756cd4d67b0bf9fcf,umap_1_hdbscan_3
direct deposit delay,6,688da4a756cd4d67b0bf9fd0,umap_1_hdbscan_3
direct debit issue,0,688da4a756cd4d67b0bf9fd1,umap_1_hdbscan_3
fraudulent transaction dispute,3,688da4a756cd4d67b0bf9fd2,umap_1_hdbscan_3
pende deposit inquiry,12,688da4a756cd4d67b0bf9fd3,umap_1_hdbscan_3
online access block,-1,688da4a756cd4d67b0bf9fd4,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4a756cd4d67b0bf9fd5,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4a756cd4d67b0bf9fd6,umap_1_hdbscan_3
direct deposit delay,6,688da4a756cd4d67b0bf9fd7,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4a756cd4d67b0bf9fd8,umap_1_hdbscan_3
direct debit failure,0,688da4a756cd4d67b0bf9fd9,umap_1_hdbscan_3
direct deposit issue,5,688da4a756cd4d67b0bf9fda,umap_1_hdbscan_3
fail direct debit,4,688da4a756cd4d67b0bf9fdb,umap_1_hdbscan_3
unauthorized transaction dispute,1,688da4a856cd4d67b0bf9fdc,umap_1_hdbscan_3
debit rejection issue,10,688da4a856cd4d67b0bf9fdd,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4a856cd4d67b0bf9fde,umap_1_hdbscan_3
direct deposit issue,5,688da4a856cd4d67b0bf9fdf,umap_1_hdbscan_3
card issue resolution,8,688da4a856cd4d67b0bf9fe0,umap_1_hdbscan_3
online access block,-1,688da4a856cd4d67b0bf9fe1,umap_1_hdbscan_3
deposit posting delay,12,688da4a856cd4d67b0bf9fe2,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4a856cd4d67b0bf9fe3,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4a856cd4d67b0bf9fe4,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4a856cd4d67b0bf9fe5,umap_1_hdbscan_3
direct deposit delay,6,688da4a856cd4d67b0bf9fe6,umap_1_hdbscan_3
direct debit issue,0,688da4a856cd4d67b0bf9fe7,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4a856cd4d67b0bf9fe8,umap_1_hdbscan_3
unauthorized charge inquiry,1,688da4a856cd4d67b0bf9fe9,umap_1_hdbscan_3
direct debit failure,0,688da4a856cd4d67b0bf9fea,umap_1_hdbscan_3
direct deposit delay,6,688da4a856cd4d67b0bf9feb,umap_1_hdbscan_3
direct deposit delay,6,688da4a856cd4d67b0bf9fec,umap_1_hdbscan_3
fraudulent charge inquiry,2,688da4a856cd4d67b0bf9fed,umap_1_hdbscan_3
mortgage payment pende,13,688da4a856cd4d67b0bf9fee,umap_1_hdbscan_3
lose debit card,10,688da4a856cd4d67b0bf9fef,umap_1_hdbscan_3
direct deposit delay,6,688da4a856cd4d67b0bf9ff0,umap_1_hdbscan_3
card decline issue,8,688da4a856cd4d67b0bf9ff1,umap_1_hdbscan_3
direct deposit issue,5,688da4a856cd4d67b0bf9ff2,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4a956cd4d67b0bf9ff3,umap_1_hdbscan_3
upi transfer failure,11,688da4a956cd4d67b0bf9ff4,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4a956cd4d67b0bf9ff5,umap_1_hdbscan_3
unauthorized transaction dispute,1,688da4a956cd4d67b0bf9ff6,umap_1_hdbscan_3
online fraud dispute,-1,688da4a956cd4d67b0bf9ff7,umap_1_hdbscan_3
direct deposit delay,6,688da4a956cd4d67b0bf9ff8,umap_1_hdbscan_3
charge recognition inquiry,9,688da4a956cd4d67b0bf9ff9,umap_1_hdbscan_3
card app display issue,8,688da4a956cd4d67b0bf9ffa,umap_1_hdbscan_3
subscription charge inquiry,7,688da4a956cd4d67b0bf9ffb,umap_1_hdbscan_3
direct deposit issue,5,688da4a956cd4d67b0bf9ffc,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4a956cd4d67b0bf9ffd,umap_1_hdbscan_3
direct deposit delay,6,688da4a956cd4d67b0bf9ffe,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4a956cd4d67b0bf9fff,umap_1_hdbscan_3
direct deposit delay,6,688da4a956cd4d67b0bfa000,umap_1_hdbscan_3
direct debit failure,0,688da4a956cd4d67b0bfa001,umap_1_hdbscan_3
direct debit failure,0,688da4a956cd4d67b0bfa002,umap_1_hdbscan_3
block account access,-1,688da4a956cd4d67b0bfa003,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4a956cd4d67b0bfa004,umap_1_hdbscan_3
kyc verification,11,688da4a956cd4d67b0bfa005,umap_1_hdbscan_3
mortgage payment reschedule,13,688da4a956cd4d67b0bfa006,umap_1_hdbscan_3
direct deposit issue,5,688da4a956cd4d67b0bfa007,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4a956cd4d67b0bfa008,umap_1_hdbscan_3
decline card issue,8,688da4a956cd4d67b0bfa009,umap_1_hdbscan_3
direct debit failure,0,688da4a956cd4d67b0bfa00a,umap_1_hdbscan_3
charge dispute process,9,688da4a956cd4d67b0bfa00b,umap_1_hdbscan_3
subscription dispute,7,688da4a956cd4d67b0bfa00c,umap_1_hdbscan_3
debit card decline,10,688da4a956cd4d67b0bfa00d,umap_1_hdbscan_3
unauthorized charge inquiry,1,688da4a956cd4d67b0bfa00e,umap_1_hdbscan_3
direct debit failure,0,688da4a956cd4d67b0bfa00f,umap_1_hdbscan_3
fail payment inquiry,4,688da4a956cd4d67b0bfa010,umap_1_hdbscan_3
fraudulent charge inquiry,2,688da4aa56cd4d67b0bfa011,umap_1_hdbscan_3
pende debit investigation,10,688da4aa56cd4d67b0bfa012,umap_1_hdbscan_3
fail direct debit,4,688da4aa56cd4d67b0bfa013,umap_1_hdbscan_3
debit card decline,10,688da4aa56cd4d67b0bfa014,umap_1_hdbscan_3
direct debit failure,0,688da4aa56cd4d67b0bfa015,umap_1_hdbscan_3
password reset issue,-1,688da4aa56cd4d67b0bfa016,umap_1_hdbscan_3
direct deposit delay,6,688da4aa56cd4d67b0bfa017,umap_1_hdbscan_3
direct debit failure,0,688da4aa56cd4d67b0bfa018,umap_1_hdbscan_3
recur charge inquiry,9,688da4aa56cd4d67b0bfa019,umap_1_hdbscan_3
deposit delay issue,12,688da4aa56cd4d67b0bfa01a,umap_1_hdbscan_3
fraudulent transaction review,3,688da4aa56cd4d67b0bfa01b,umap_1_hdbscan_3
