cluster_id,keywords,cluster_name,experiment_id,umap_params,hdbscan_params
-1,"['online access block', 'online access block', 'online fraud dispute', 'block account access', 'password reset issue', 'direct deposit inquiry', 'direct deposit review', 'direct deposit inquiry', 'account access issue', 'direct deposit inquiry', 'payroll deposit delay']",Cluster -1 (Noise),umap_1_hdbscan_3,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
0,"['direct debit issue', 'direct debit failure', 'direct debit issue', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit block', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit block', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit rejection']",Cluster 0,umap_1_hdbscan_3,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
1,"['unauthorized transaction dispute', 'unauthorized charge dispute', 'unauthorized charge inquiry', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized transaction dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge inquiry', 'unauthorized charge dispute', 'unrecognized charge dispute', 'unauthorized charge dispute', 'unauthorized transaction inquiry', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized subscription charge', 'unauthorized charge dispute', 'unrecognized charge dispute', 'unauthorized charge inquiry', 'unauthorized subscription dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge inquiry', 'unauthorized charge dispute', 'unauthorized charge dispute']",Cluster 1,umap_1_hdbscan_3,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
2,"['fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge inquiry', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge inquiry', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'dispute charge inquiry', 'fraudulent charge review', 'fraudulent charge dispute', 'fraudulent charge dispute']",Cluster 2,umap_1_hdbscan_3,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
3,"['fraudulent transaction dispute', 'fraudulent transaction review', 'fraudulent transaction review', 'fraudulent transaction block', 'fraudulent transaction block', 'fraudulent transaction claim', 'fraudulent transaction claim', 'fraudulent access attempt', 'fraudulent transaction dispute']",Cluster 3,umap_1_hdbscan_3,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
4,"['fail direct debit', 'fail payment inquiry', 'fail direct debit', 'fail direct debit', 'fail direct debit']",Cluster 4,umap_1_hdbscan_3,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
5,"['direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit error', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue']",Cluster 5,umap_1_hdbscan_3,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
6,"['direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'miss direct deposit', 'direct deposit delay']",Cluster 6,umap_1_hdbscan_3,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
7,"['subscription charge inquiry', 'subscription dispute', 'subscription dispute inquiry', 'subscription charge inquiry', 'subscription charge inquiry', 'subscription charge dispute', 'subscription dispute', 'subscription dispute', 'subscription charge inquiry']",Cluster 7,umap_1_hdbscan_3,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
8,"['card issue resolution', 'card decline issue', 'card app display issue', 'decline card issue', 'card activation issue', 'card activation issue', 'card activation failure', 'card delivery error', 'card decline issue', 'card decline issue', 'travel card block', 'card decline issue', 'decline transaction issue', 'card activation issue', 'decline transaction issue', 'card decline issue', 'card decline issue']",Cluster 8,umap_1_hdbscan_3,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
