cluster_id,keywords,cluster_name,experiment_id,umap_params,hdbscan_params
-1,"['fraud detection update', 'branch audit notification', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'fraud verification protocol', 'fraud detection update', 'branch audit notification', 'advanced fraud detection', 'fraud detection update', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'fraud system update', 'fraud detection update', 'fraud detection update', 'fraud system update', 'branch audit notification', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'fraud detection update', 'branch audit preparation', 'malware signature update', 'fraud system update', 'fraud system update', 'branch audit preparation', 'ach fraud update', 'fraud system update', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'fraud system update', 'fraud detection update', 'branch audit notification', 'fraud detection update', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'branch audit notification', 'aml rule revision', 'fraud detection update', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'fraud detection update', 'fraud system update', 'fraud system update', 'aml audit preparation', 'branch audit preparation', 'branch audit notification', 'branch audit notification', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'aml rule revision', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'branch audit notification', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'fraud detection tune', 'swift fraud protocol', 'aml rule revision', 'aml rule revision', 'branch audit preparation', 'aml rule update', 'fraud system update', 'fraud system update', 'aml rule revision', 'fraud detection update', 'branch audit preparation', 'fraud system update', 'branch audit notification', 'fraud detection update', 'branch audit preparation', 'fraud detection update', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'hydra-7 malware threat', 'fraud detection calibration', 'fraud detection update', 'fraud detection update', 'branch audit preparation', 'fraud system update', 'fraud detection update', 'fraud system update', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'fraud detection adjustment', 'branch audit notification', 'cerberus x malware', 'fraud detection update', 'branch audit notification', 'fraud detection update', 'aml procedure update', 'branch audit notification', 'fraud system update', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'enhance diligence', 'branch audit preparation', 'malware detection update', 'branch audit notification', 'fraud detection update', 'fraud system update', 'fraud detection update', 'branch audit notification', 'branch audit preparation', 'fraud detection update', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'fraud detection update', 'fraud system update', 'aml rule update', 'fraud detection update', 'aml rule revision', 'fraud detection update', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit notification', 'branch audit preparation', 'aml rule revision', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit notification', 'aml rule revision', 'fraud system update', 'branch audit preparation', 'branch audit notification', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'branch audit notification', 'branch audit notification', 'branch audit notification', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit notification', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit notification', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'rtgs system upgrade', 'fraud system update', 'branch audit notification', 'aml rule revision', 'branch audit notification', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'fraud detection update', 'fraud system update', 'branch audit notification', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'mfa protocol breach', 'fraud detection patch', 'fraud detection update', 'branch audit notification', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'fraud detection update', 'fraud detection update', 'finacle outage impact', 'fraud detection update', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'fraud detection patch', 'fraud system update', 'branch audit preparation', 'branch audit notification', 'enhance fraud detection', 'fraud detection update', 'phishe technique update', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'aml rule revision', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'branch audit notification', 'branch audit preparation', 'fraud system update', 'fraudulent transaction review', 'fraud detection update', 'fraud system update', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'hydra malware threat', 'mfa vulnerability patch', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'fraud detection update', 'fraud system update', 'fraudulent transaction review', 'fraud system update', 'fraud system update', 'fraud detection update', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'aml threshold change', 'branch audit preparation', 'branch audit notification', 'fraud detection update', 'fraud detection update', 'phishe attack protocol', 'fraud detection update', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'fraud system update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud system update', 'fraud system update', 'fraud detection update', 'aml threshold revision', 'fraud system update', 'aml rule update', 'fraud system update', 'branch audit notification', 'fraud system update', 'fraud system update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud system update', 'branch audit notification', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'branch audit notification', 'branch audit notification', 'fraud system update', 'branch audit notification', 'fraud system update', 'branch audit preparation', 'branch audit notification', 'fraud system update', 'fraud detection update', 'fraud system update', 'fraud system update', 'fraud system update', 'branch audit preparation', 'fraud system update', 'aml system update', 'finserv outage', 'fraud detection update', 'fraud detection update', 'aml procedure update', 'fraud system update', 'fraud detection update', 'branch audit notification', 'fraud detection update', 'branch audit notification', 'fraud detection update', 'branch audit notification', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'aml rule revision', 'branch audit preparation', 'fraud system update', 'aml rule revision', 'fraud system update', 'branch audit notification', 'branch audit preparation', 'branch audit notification', 'fraud system update', 'fraud system update', 'fraud detection update', 'fraud detection update', 'branch audit preparation', 'fraud system update', 'fraud detection update', 'finserv platform outage', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit notification', 'fraud system update', 'hydra malware threat', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud detection update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'branch audit preparation', 'branch audit notification', 'fraud system update', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'branch audit notification', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud detection update', 'branch audit preparation', 'branch audit notification', 'branch audit notification', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'malware threat detection', 'fraud detection update', 'fraud system update', 'branch audit preparation', 'fraud detection update', 'fraud system update', 'fraud system update', 'branch audit notification', 'fraud system update', 'branch audit notification', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'fraud system update', 'loan document revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los implementation training', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'branch audit notification', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'branch audit preparation', 'fraudulent transaction', 'loan documentation revision', 'loan documentation revision', 'branch audit preparation', 'los system upgrade', 'loan documentation revision', 'branch audit preparation', 'loan documentation revision', 'branch audit notification', 'loan documentation revision', 'los system upgrade', 'branch audit preparation', 'branch audit notification', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'branch audit preparation', 'branch audit notification', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'los training schedule', 'branch audit preparation', 'branch audit preparation', 'los system upgrade', 'branch audit preparation', 'loan documentation revision', 'loan documentation revision', 'branch audit preparation', 'branch audit preparation', 'loan documentation revision', 'branch audit preparation', 'loan documentation revision', 'loan documentation revision', 'branch audit preparation', 'loan documentation revision', 'branch audit preparation', 'branch audit preparation', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'branch audit preparation', 'branch audit notification', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'los system upgrade', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'loan documentation revision', 'loan documentation revision', 'aml system upgrade', 'branch audit preparation', 'los system upgrade', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit notification', 'los system upgrade', 'branch audit preparation', 'branch audit preparation', 'loan documentation revision', 'branch audit preparation', 'loan documentation revision', 'loan documentation revision', 'branch audit preparation', 'branch audit preparation', 'loan documentation revision', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'branch audit preparation', 'loan documentation revision', 'loan documentation revision', 'branch audit preparation', 'branch audit preparation', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'los system upgrade', 'loan documentation revision', 'los training update', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los staff training', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system training', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'los system upgrade', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system training', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'los system training', 'los system upgrade', 'los system upgrade', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'los implementation training', 'los system upgrade', 'loan documentation revision', 'los system upgrade', 'los system upgrade', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision']",Cluster -1 (Noise),umap_3_hdbscan_2,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
0,"['los version upgrade', 'los update training', 'los version upgrade', 'los version upgrade', 'los version upgrade']",Cluster 0,umap_3_hdbscan_2,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
1,"['phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'smishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'smurfing investigation', 'phishe campaign impact', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'smishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'phishe attack response', 'smurfe fraud pattern', 'phishe attack response', 'phishe attack response', 'phishe attack response']",Cluster 1,umap_3_hdbscan_2,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
2,"['fraud threshold reduction', 'fraud alert threshold', 'fraud alert volume', 'fraud alert threshold', 'fraud alert review', 'fraud alert threshold', 'fraud alert threshold', 'fraud alert escalation']",Cluster 2,umap_3_hdbscan_2,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
3,"['false positive alert', 'false positive alert', 'false positive alert', 'false positive rate', 'false positive increase']",Cluster 3,umap_3_hdbscan_2,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
4,"['revise loan protocol', 'revise loan documentation', 'revise loan documentation', 'revise loan documentation', 'revise loan documentation']",Cluster 4,umap_3_hdbscan_2,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
5,"['mobile banking security', 'mobile fraud detection', 'fraud patch deployment', 'mobile fraud detection', 'fraud patch deployment']",Cluster 5,umap_3_hdbscan_2,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
6,"['finacle security upgrade', 'finacle security patch', 'finacle security upgrade', 'finacle security patch', 'finacle security patch', 'finacle security patch', 'finacle security upgrade', 'finacle security upgrade', 'finacle security patch']",Cluster 6,umap_3_hdbscan_2,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
7,"['phishe detection update', 'phishe attack update', 'phishe detection update', 'phishe detection update', 'phishe detection update', 'sm phishe detection', 'phishe detection update', 'phishe system update']",Cluster 7,umap_3_hdbscan_2,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
8,"['phishe attack mitigation', 'phishe attack patch', 'phishe attack detection', 'phishe attack detection', 'phishe attack mitigation', 'phishe wire transfer', 'phishe threat update', 'phishe attack detection', 'phishe campaign detection', 'phishe attack detection', 'phishe attack detection', 'phishe attack mitigation', 'phishe wire fraud', 'phishe attack mitigation', 'phishe attack mitigation', 'phishe attack review', 'phishe attack vector', 'phishe attack detection', 'phishe attack detection', 'phishe attack pattern', 'phishe threat detection', 'phishe attack review', 'phishe attack mitigation']",Cluster 8,umap_3_hdbscan_2,"{'n_neighbors': 50, 'min_dist': 0.2}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
