cluster_id,keywords,cluster_name,experiment_id,umap_params,hdbscan_params
-1,"['firefox font rendering', 'brute force attack', 'horizon login failure', 'brute force attack', 'billpay module crash', 'dwh connection failure', 'webdirect login failure', 'credit score retrieval', 'bill payment failure', 'olb login failure', 'bill payment failure', 'webdirect login failure', 'ach file rejection', 'database replication lag', 'nickname display error', 'credit bureau api', 'dna batch processing', 'fedline connection error', 'data center cool', 'db connection timeout', 'sql query timeout', 'database query performance', 'nickname truncation', 'safari font distortion', 'account nickname font', 'bill pay alignment', 'sql query optimization', 'sql query timeout', 'sql query timeout', 'nickname truncation', 'incorrect interest rate', 'account nickname alignment', 'dwh report delay', 'account nickname alignment', 'ach route error', 'brute force attack', 'exchange server outage', 'account nickname font', 'account nickname alignment', 'nickname truncation', 'exchange email delay']",Cluster -1 (Noise),umap_2_hdbscan_1,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
0,"['fraudulent login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login attempt', 'suspicious login attempt', 'suspicious login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'unusual login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious mobile login', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'unusual login activity', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login attempt', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'suspicious login activity', 'fraudulent login attempt', 'suspicious login activity']",Cluster 0,umap_2_hdbscan_1,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
1,"['fraudulent transaction alert', 'fraudulent transaction alert', 'high risk transaction', 'fraudulent transaction alert']",Cluster 1,umap_2_hdbscan_1,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
2,"['fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent transfer attempt', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer']",Cluster 2,umap_2_hdbscan_1,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
3,"['ios transaction history', 'ios bill payment crash', 'ios transaction crash', 'ios bill payment crash', 'ios bill payment crash', 'ios transaction crash', 'ios bill payment crash', 'ios bill payment crash', 'ios transaction crash', 'ios bill payment crash']",Cluster 3,umap_2_hdbscan_1,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
4,"['android app crash', 'android app crash', 'android app crash', 'android app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'android app crash', 'ios app crash', 'ios app crash', 'android app crash', 'android app crash', 'ios app crash', 'android app crash', 'ios app crash', 'ios app crash', 'android app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios crash report', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'android app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios crash report', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios crash report', 'ios crash report', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash']",Cluster 4,umap_2_hdbscan_1,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
5,"['atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention', 'atm card retention']",Cluster 5,umap_2_hdbscan_1,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
6,"['atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'ncr card reader failure', 'atm card reader', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm cassette jam', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader', 'atm card reader failure', 'atm chip reader', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card read failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'ncr card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'ncr card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure', 'atm card reader failure']",Cluster 6,umap_2_hdbscan_1,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
7,"['atm deposit failure', 'atm deposit failure', 'atm cash error', 'atm cash error']",Cluster 7,umap_2_hdbscan_1,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
8,"['atm cash dispenser', 'atm cash jam', 'atm cash dispense', 'atm cash dispense', 'atm cash dispense', 'atm cash dispense', 'atm cash dispense failure']",Cluster 8,umap_2_hdbscan_1,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
