cluster_id,keywords,cluster_name
-1,"['pende deposit inquiry', 'online access block', 'online access block', 'mortgage payment pende', 'online fraud dispute', 'block account access', 'mortgage payment reschedule', 'decline card issue', 'charge dispute process', 'pende debit investigation', 'password reset issue', 'direct deposit inquiry', 'decline transaction issue', 'account access issue', 'account balance discrepancy', 'direct deposit inquiry', 'decline transaction issue', 'mortgage payment rejection']",Uncategorized Topics
0,"['fraudulent transaction dispute', 'fraudulent transaction review', 'fraudulent transaction review', 'fraudulent transaction block', 'fraudulent transaction block', 'fraudulent transaction claim', 'fraudulent transaction claim', 'fraudulent access attempt', 'fraudulent transaction dispute']",Fraudulent / Transaction / Dispute
1,"['fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge inquiry', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge inquiry', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'dispute charge inquiry', 'fraudulent charge review', 'fraudulent charge dispute', 'fraudulent charge dispute']",Charge / Fraudulent / Dispute
2,"['fail direct debit', 'fail payment inquiry', 'fail direct debit', 'fail direct debit', 'fail direct debit']",Fail / Direct / Debit
3,"['direct debit issue', 'direct debit failure', 'direct debit issue', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit block', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit block', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit rejection']",Direct / Debit / Failure
4,"['unauthorized transaction dispute', 'unauthorized charge dispute', 'unauthorized charge inquiry', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized transaction dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge inquiry', 'unauthorized charge dispute', 'unrecognized charge dispute', 'unauthorized charge dispute', 'unauthorized transaction inquiry', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized subscription charge', 'unauthorized charge dispute', 'unrecognized charge dispute', 'unauthorized charge inquiry', 'unauthorized subscription dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge inquiry', 'unauthorized charge dispute', 'unauthorized charge dispute']",Unauthorized / Charge / Dispute
5,"['direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue']",Direct / Deposit / Issue
6,"['direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit review', 'direct deposit error', 'direct deposit inquiry', 'direct deposit delay', 'direct deposit delay', 'payroll deposit delay', 'direct deposit delay', 'direct deposit delay', 'miss direct deposit', 'direct deposit delay']",Deposit / Direct / Delay
7,"['subscription charge inquiry', 'subscription dispute', 'subscription dispute inquiry', 'subscription charge inquiry', 'subscription charge inquiry', 'subscription charge dispute', 'subscription dispute', 'subscription dispute', 'subscription charge inquiry']",Subscription / Charge / Inquiry
8,"['recur charge inquiry', 'charge recognition inquiry', 'recur charge inquiry', 'recur charge inquiry', 'recur charge inquiry', 'recur charge inquiry', 'charge dispute inquiry']",Charge / Inquiry / Recur
9,"['debit rejection issue', 'lose debit card', 'debit card decline', 'debit card decline', 'misdeliver debit card', 'debit card decline']",Debit / Card / Decline
10,"['card issue resolution', 'card decline issue', 'card app display issue', 'card activation issue', 'card activation issue', 'card activation failure', 'card delivery error', 'card decline issue', 'card decline issue', 'travel card block', 'card decline issue', 'card activation issue', 'card decline issue', 'card decline issue']",Card / Issue / Decline
11,"['upi transfer failure', 'kyc verification', 'upi transfer block', 'upi transfer failure', 'upi transfer failure', 'otp delivery failure']",Transfer / Failure / Verification
12,"['deposit posting delay', 'deposit delay issue', 'deposit processing issue', 'deposit discrepancy issue', 'deposit issue investigation', 'deposit issue investigation', 'deposit hold issue', 'deposit issue inquiry', 'deposit posting delay', 'deposit delay issue', 'deposit delay issue']",Deposit / Issue / Delay
13,"['payment issue resolution', 'payment issue investigation', 'statement discrepancy inquiry', 'payment issue resolution', 'payment processing issue', 'payment processing issue']",Payment / Issue / Resolution
