keyphrase,cluster_id,document_id,experiment_id
recur charge inquiry,8,688da4a756cd4d67b0bf9fcf,umap_2_hdbscan_3
direct deposit delay,6,688da4a756cd4d67b0bf9fd0,umap_2_hdbscan_3
direct debit issue,3,688da4a756cd4d67b0bf9fd1,umap_2_hdbscan_3
fraudulent transaction dispute,0,688da4a756cd4d67b0bf9fd2,umap_2_hdbscan_3
pende deposit inquiry,-1,688da4a756cd4d67b0bf9fd3,umap_2_hdbscan_3
online access block,-1,688da4a756cd4d67b0bf9fd4,umap_2_hdbscan_3
fraudulent charge dispute,1,688da4a756cd4d67b0bf9fd5,umap_2_hdbscan_3
fraudulent charge dispute,1,688da4a756cd4d67b0bf9fd6,umap_2_hdbscan_3
direct deposit delay,6,688da4a756cd4d67b0bf9fd7,umap_2_hdbscan_3
fraudulent charge dispute,1,688da4a756cd4d67b0bf9fd8,umap_2_hdbscan_3
direct debit failure,3,688da4a756cd4d67b0bf9fd9,umap_2_hdbscan_3
direct deposit issue,5,688da4a756cd4d67b0bf9fda,umap_2_hdbscan_3
fail direct debit,2,688da4a756cd4d67b0bf9fdb,umap_2_hdbscan_3
unauthorized transaction dispute,4,688da4a856cd4d67b0bf9fdc,umap_2_hdbscan_3
debit rejection issue,9,688da4a856cd4d67b0bf9fdd,umap_2_hdbscan_3
fraudulent charge dispute,1,688da4a856cd4d67b0bf9fde,umap_2_hdbscan_3
direct deposit issue,5,688da4a856cd4d67b0bf9fdf,umap_2_hdbscan_3
card issue resolution,10,688da4a856cd4d67b0bf9fe0,umap_2_hdbscan_3
online access block,-1,688da4a856cd4d67b0bf9fe1,umap_2_hdbscan_3
deposit posting delay,12,688da4a856cd4d67b0bf9fe2,umap_2_hdbscan_3
unauthorized charge dispute,4,688da4a856cd4d67b0bf9fe3,umap_2_hdbscan_3
fraudulent charge dispute,1,688da4a856cd4d67b0bf9fe4,umap_2_hdbscan_3
fraudulent charge dispute,1,688da4a856cd4d67b0bf9fe5,umap_2_hdbscan_3
direct deposit delay,6,688da4a856cd4d67b0bf9fe6,umap_2_hdbscan_3
direct debit issue,3,688da4a856cd4d67b0bf9fe7,umap_2_hdbscan_3
fraudulent charge dispute,1,688da4a856cd4d67b0bf9fe8,umap_2_hdbscan_3
unauthorized charge inquiry,4,688da4a856cd4d67b0bf9fe9,umap_2_hdbscan_3
direct debit failure,3,688da4a856cd4d67b0bf9fea,umap_2_hdbscan_3
direct deposit delay,6,688da4a856cd4d67b0bf9feb,umap_2_hdbscan_3
direct deposit delay,6,688da4a856cd4d67b0bf9fec,umap_2_hdbscan_3
fraudulent charge inquiry,1,688da4a856cd4d67b0bf9fed,umap_2_hdbscan_3
