Dominant_topic,Subtopics,Dominant_topic_weightage,Subtopics_weightage
Excellent Call Support,"Quick Response Received, Knowledgeable Agent Helped, Problem Resolved Efficiently, Multilingual Assistance Provided, Professional Service Delivered",0.0089,"0.23,0.21,0.19,0.18,0.19"
Payment Processing Failure,"SEPA Transfer Rejected, Card Transaction Declined, International Payment Delayed, Standing Order Failed, Bulk Payment Error",0.0123,"0.22,0.19,0.21,0.18,0.20"
Mobile App Crashes,"Application Launch Failed, Login Screen Frozen, Transaction Processing Stuck, Balance Update Delayed",0.0078,"0.28,0.24,0.23,0.25"
Service Information Request,"Fee Structure Inquiry, Process Clarification Needed, Documentation Requirements Asked, Feature Explanation Requested",0.0056,"0.26,0.25,0.24,0.25"
Digital Innovation Appreciation,"Open Banking Excellent, PSD2 Compliance Smooth, API Services Outstanding, Mobile Security Robust, Fintech Integration Perfect",0.0134,"0.21,0.20,0.19,0.20,0.20"
System Outage Frustration,"Core Banking Down, Payment System Unavailable, Network Connectivity Lost, Service Interrupted Completely",0.0098,"0.27,0.25,0.24,0.24"
Trade Finance Satisfaction,"Letter Credit Processed, Export Documentation Smooth, Bank Guarantee Issued, Documentary Collection Efficient, International Trade Supported",0.0112,"0.21,0.19,0.20,0.20,0.20"
Account Access Problems,"Account Locked Unexpectedly, Password Reset Failed, Authentication Errors Occurred, Profile Access Denied, Multi Factor Problems",0.0087,"0.24,0.23,0.26,0.27"
Fee Structure Criticism,"High Transaction Fees, Unexpected Charges Discovered, Pricing Transparency Lacking, Fee Increase Complaints, Billing Errors Reported",0.0101,"0.21,0.19,0.20,0.20,0.20"
GDPR Compliance Praise,"GDPR Handling Excellent, Data Protection Strong, Privacy Rights Respected, Compliance Documentation Clear, Regulatory Transparency Appreciated",0.0067,"0.28,0.24,0.23,0.25"
Treasury Services Excellence,"Cash Management Superior, FX Trading Smooth, Investment Services Outstanding, Liquidity Management Excellent, Risk Management Tools",0.0145,"0.26,0.25,0.24,0.25"
Call Center Complaints,"Long Wait Times, Unhelpful Agent Encountered, Language Barriers Experienced, Call Disconnection Issues, Poor Resolution Quality",0.0156,"0.21,0.20,0.19,0.20,0.20"
Relationship Management Praise,"Account Manager Responsive, Corporate Service Exceptional, Dedicated Support Appreciated, Personalized Banking Excellence, Client Relationship Strong",0.0089,"0.22,0.19,0.21,0.18,0.20"
Security Incident Concerns,"Fraud Alert Confusion, Unauthorized Access Fears, Cybersecurity Worries Expressed, Data Breach Concerns, Identity Verification Issues",0.0078,"0.21,0.20,0.19,0.20,0.20"
Cross Border Issues,"Multi Currency Problems, Exchange Rate Disputes, Correspondent Bank Delays, Regional Service Variations, International Banking Issues",0.0098,"0.24,0.23,0.26,0.27"
API Integration Problems,"Third Party Connections, Data Synchronization Errors, Authentication Issues Reported, Service Interruptions Experienced, Open Banking Problems",0.0134,"0.22,0.19,0.21,0.18,0.20"
Customer Service Disappointment,"Service Quality Poor, Response Time Inadequate, Escalation Process Unclear, Relationship Manager Unavailable, Support Coordination Lacking",0.0123,"0.21,0.20,0.19,0.20,0.20"
Regulatory Compliance Questions,"KYC Documentation Questions, AML Requirements Asked, GDPR Rights Inquiry, PSD2 Implementation Questions, MiFID Categorization Needed",0.0067,"0.21,0.20,0.19,0.20,0.20"
Quick Response Time,"Agent Responded Quickly, Call Answered Fast, Issue Resolved Rapidly, Support Available Immediately",0.0045,"0.28,0.24,0.23,0.25"
Long Wait Times,"Customer Waiting Long, Call Queue Extended, Response Time Slow, Support Delayed Significantly",0.0167,"0.26,0.25,0.24,0.25"
Multilingual Support Appreciated,"Multiple Languages Supported, Native Speaker Available, Translation Services Provided, International Staff Helpful",0.0078,"0.24,0.23,0.26,0.27"
Language Barriers Experienced,"Communication Barriers Faced, Language Options Limited, Translation Issues Experienced, Local Support Missing",0.0123,"0.22,0.19,0.21,0.18,0.20"
Problem Resolved Efficiently,"Issue Fixed Successfully, Solution Provided Quickly, Customer Satisfied Completely, Problem Eliminated Effectively",0.0089,"0.28,0.24,0.23,0.25"
Call Disconnection Issues,"Phone Call Dropped, Connection Lost Repeatedly, Technical Issues Experienced, Communication Interrupted Frequently",0.0098,"0.26,0.25,0.24,0.25"
Knowledgeable Agent Helped,"Expert Knowledge Demonstrated, Agent Well Trained, Technical Expertise Shown, Professional Competence Displayed",0.0076,"0.24,0.23,0.26,0.27"
Unhelpful Agent Encountered,"Staff Knowledge Limited, Agent Training Insufficient, Expertise Lacking Clearly, Professional Skills Inadequate",0.0134,"0.22,0.19,0.21,0.18,0.20"
SEPA Transfer Success,"SEPA Processing Smooth, European Transfer Fast, Cross Border Success, Regional Payment Excellent",0.0089,"0.28,0.24,0.23,0.25"
SEPA Payment Rejected,"Payment Gateway Failed, Transfer System Error, Processing Queue Stuck, Transaction Engine Down",0.0123,"0.26,0.25,0.24,0.25"
International Payment Smooth,"International Wire Success, Global Transfer Smooth, Cross Border Efficient, Foreign Exchange Excellent",0.0098,"0.24,0.23,0.26,0.27"
Transfer Delays Experienced,"Transfer Pending Long, International Delays Experienced, Cross Border Issues, Wire Processing Slow",0.0145,"0.22,0.19,0.21,0.18,0.20"
