keyphrase,embedding_dimension,document_count,batch_number
security warning,3584,13,1
standing order setup,3584,17,1
api integration support,3584,9,1
portfolio review,3584,15,1
customer satisfaction survey,3584,10,1
payment gateway integration,3584,14,1
business continuity planning,3584,18,1
trade settlement inquiry,3584,13,1
gdpr right explanation,3584,11,1
mobile app troubleshoot,3584,12,1
feature enhancement request,3584,14,1
restructure consultation,3584,17,1
forex trading,3584,16,1
credit line request,3584,19,1
file format guidance,3584,15,1
branch service inquiry,3584,11,1
liquidity management,3584,15,2
relationship manager introduction,3584,20,2
signatory change request,3584,12,2
diligence assistance,3584,12,2
settlement risk analysis,3584,19,2
treasury service consultation,3584,13,2
suspicious activity report,3584,11,2
trade documentation inquiry,3584,13,2
fee structure inquiry,3584,12,2
partnership development,3584,13,2
account reconciliation discussion,3584,16,2
financial planning consultation,3584,15,2
account statement request,3584,18,2
account suspension notice,3584,13,2
merger acquisition support,3584,16,2
version update information,3584,14,2
contract discussion,3584,14,3
digital banking help,3584,21,3
seminar invitation discussion,3584,16,3
payment cancellation request,3584,17,3
regulatory compliance question,3584,16,3
callback scheduling request,3584,13,3
investment product inquiry,3584,17,3
payment processing inquiry,3584,11,3
workshop registration,3584,15,3
emergency contact,3584,13,3
operational risk assessment,3584,13,3
fraud alert,3584,15,3
multi currency account,3584,15,3
profile update request,3584,12,3
technical support request,3584,16,3
account closure request,3584,9,3
payment delay complaint,3584,12,4
investment advisory,3584,15,4
compliance training,3584,13,4
bank guarantee inquiry,3584,14,4
recovery planning assistance,3584,11,4
psd2 authorization discussion,3584,14,4
security breach report,3584,13,4
urgent payment request,3584,15,4
service interruption notice,3584,13,4
aml inquiry discussion,3584,17,4
customer retention,3584,17,4
account update,3584,14,4
product information inquiry,3584,6,4
economic update discussion,3584,14,4
letter credit discussion,3584,11,4
risk management discussion,3584,17,4
document upload assistance,3584,16,5
system upgrade notice,3584,12,5
accounting integration help,3584,11,5
account recovery process,3584,15,5
escalation management request,3584,15,5
datum protection discussion,3584,13,5
card activation,3584,15,5
internal control discussion,3584,16,5
business expansion discussion,3584,16,5
training session scheduling,3584,10,5
budget management assistance,3584,15,5
risk disclosure discussion,3584,9,5
transaction history inquiry,3584,14,5
market risk discussion,3584,12,5
payment authorization request,3584,15,5
disaster recovery discussion,3584,17,5
source fund verification,3584,14,6
credit assessment discussion,3584,16,6
corporate card request,3584,12,6
governance review meeting,3584,12,6
industry update,3584,11,6
beneficial ownership discussion,3584,15,6
client categorization review,3584,16,6
credit facility inquiry,3584,13,6
mifid ii consultation,3584,13,6
fraud prevention discussion,3584,11,6
erp system connection,3584,11,6
process explanation,3584,16,6
infrastructure support,3584,18,6
enhance diligence,3584,15,6
complaint follow,3584,15,6
cross sell conversation,3584,9,6
cash management consultation,3584,12,7
direct debit setup,3584,13,7
complaint escalation request,3584,5,7
crisis management support,3584,13,7
insolvency advice discussion,3584,10,7
system maintenance notice,3584,10,7
service quality complaint,3584,8,7
advisory service request,3584,11,7
compliance information,3584,3,7
suitability assessment,3584,17,7
batch processing assistance,3584,14,7
valuation service inquiry,3584,17,7
service availability question,3584,13,7
fee dispute discussion,3584,5,7
platform navigation help,3584,16,7
account opening process,3584,11,7
market information request,3584,17,8
payment problem discussion,3584,15,8
credit risk evaluation,3584,12,8
payroll service discussion,3584,11,8
network event information,3584,16,8
currency exchange inquiry,3584,15,8
account security review,3584,14,8
transaction monitor,3584,10,8
balance inquiry,3584,6,8
account migration notice,3584,13,8
regulatory reporting assistance,3584,15,8
cybersecurity consultation,3584,7,8
refund status request,3584,7,8
audit preparation,3584,11,8
party access,3584,9,8
business account setup,3584,18,8
documentation request discussion,3584,13,9
international transfer,3584,12,9
work capital discussion,3584,14,9
banking hour inquiry,3584,18,9
kyc verification,3584,15,9
service feedback,3584,15,9
regulatory change notice,3584,7,9
interest rate inquiry,3584,17,9
system access help,3584,6,9
datum backup discussion,3584,16,9
electronic banking training,3584,12,9
card service request,3584,6,9
invoice financing request,3584,13,9
transfer instruction,3584,16,9
conference participation inquiry,3584,16,9
strategic planning consultation,3584,14,9
investment advice request,3584,12,10
authentication assistance,3584,2,10
password reset assistance,3584,8,10
bulk payment guidance,3584,13,10
sanction screen,3584,13,10
system error discussion,3584,15,10
trade finance consultation,3584,7,10
documentary collection,3584,11,10
export finance consultation,3584,8,10
business relationship review,3584,11,10
account verification,3584,13,10
