Dominant_topic,Subtopics,Dominant_topic_weightage,Subtopics_weightage
Password Reset Failed,"Reset Link Broken, Email Delivery Failed, Security Question Error, Temporary Password Expired, System Timeout Occurred",0.0067,"0.15,0.14,0.13,0.12,0.09"
Account Lockout Issue,"Maximum Attempts Exceeded, Security Policy Triggered, Admin Override Required, Unlock Request Pending",0.0044,"0.19,0.18,0.21"
Balance Update Error,"Real Time Missing, Pending Transaction Delay, Manual Adjustment Required, System Calculation Error, Overnight Processing Failed",0.0094,"0.17,0.16,0.15,0.14,0.09"
Statement Generation Failed,"PDF Generation Error, Template Loading Failed, Data Retrieval Problem, Formatting Issue Detected, Customer Delivery Failed",0.0076,"0.18,0.16,0.14,0.11"
Currency Conversion Problem,"Rate Feed Disrupted, Manual Override Needed, Historical Data Missing, Calculation Algorithm Error",0.0061,"0.16,0.15,0.13,0.08"
Profile Modification Request,"Update Request Submitted, Data Validation Failed, System Processing Delay, Approval Workflow Triggered, Database Update Error",0.0062,"0.19,0.17,0.16,0.15"
Contact Details Update,"Phone Number Invalid, Address Verification Failed, Email Format Wrong, Contact Preference Missing, Communication Channel Error",0.0069,"0.18,0.16,0.14,0.13"
Notification Setup Error,"SMS Service Down, Email Template Error, Preference Setting Failed, Delivery Channel Blocked",0.0055,"0.17,0.15,0.14,0.08"
Account Closure Request,"Regulatory Compliance Required, Final Balance Pending, Documentation Incomplete, Approval Process Started, System Flag Activated",0.0102,"0.20,0.18,0.16,0.15"
Signatory Update Required,"Digital Signature Required, Authority Verification Needed, Documentation Upload Required, Compliance Check Failed, Processing Queue Delayed",0.0069,"0.17,0.16,0.14,0.09"
Direct Debit Rejection,"SEPA Scheme Rejection, Bank Account Closed, Insufficient Funds Available, Mandate Expired Today",0.01,"0.15,0.14,0.12,0.07"
Wire Transfer Delay,"Correspondent Bank Issue, Regulatory Hold Applied, Documentation Requirements Missing, Cut Off Time",0.0093,"0.21,0.19,0.17,0.15"
Card Authorization Failed,"PIN Entry Failed, Merchant Terminal Error, Card Limit Reached, Authorization Code Invalid, Fraud Prevention Triggered",0.0078,"0.18,0.17,0.16,0.14"
Standing Order Error,"Setup Parameters Wrong, Execution Date Invalid, Beneficiary Details Missing, Amount Validation Failed",0.008,"0.16,0.15,0.14,0.08"
Bulk Payment Problem,"File Format Incorrect, Upload Process Failed, Validation Rules Violated, Processing Engine Error, Queue System Overloaded",0.0091,"0.19,0.18,0.17,0.14"
Transaction Limit Exceeded,"Daily Limit Reached, Weekly Threshold Exceeded, Monthly Cap Applied, Transaction Type Restricted",0.0076,"0.17,0.16,0.15,0.09"
Fee Calculation Error,"Pricing Rule Error, Manual Calculation Required, Discount Application Failed, Tax Computation Wrong, Billing Cycle Mismatch",0.0049,"0.18,0.16,0.15,0.13"
