keyphrase,cluster_id,document_id
fraudulent wire transfer,8,688b0e9d0110d1205b4919d3
fraud system update,0,688b0f250110d1205b4919d4
fraud system upgrade,15,688b0f250110d1205b4919d6
core banking upgrade,23,688b0f250110d1205b4919db
fraud detection update,7,688b0f250110d1205b4919dd
phishe attack mitigation,24,688b0fab0110d1205b4919e2
sentinel vulnerability patch,31,688b0fab0110d1205b4919e3
phishe attack response,25,688b0fab0110d1205b4919e5
phishe attack response,25,688b0fab0110d1205b4919e7
fraud detection update,7,688b10310110d1205b4919ea
fraud detection upgrade,30,688b10310110d1205b4919eb
fraud detection update,7,688b0e9d0110d1205b4919ca
phishe attack response,25,688b0e9d0110d1205b4919cd
branch audit preparation,1,688b0fab0110d1205b4919de
fraudulent wire transfer,8,688b0fab0110d1205b4919df
fraudulent wire transfer,8,688b0fab0110d1205b4919e0
core banking upgrade,23,688b0fab0110d1205b4919e1
branch audit notification,13,688b0fab0110d1205b4919e4
core banking upgrade,23,688b10310110d1205b4919e8
phishe attack response,25,688b10310110d1205b4919ec
branch audit preparation,1,688b0e9d0110d1205b4919cb
branch audit preparation,1,688b0e9d0110d1205b4919cc
fraudulent ach transfer,27,688b0e9d0110d1205b4919ce
revise aml rule,40,688b0e9d0110d1205b4919cf
core banking upgrade,23,688b0e9d0110d1205b4919d0
fraud system update,0,688b0e9d0110d1205b4919d2
branch audit preparation,1,688b0f250110d1205b4919d5
fraud system update,0,688b0f250110d1205b4919d7
fraud detection update,7,688b0f250110d1205b4919d8
fraudulent wire transfer,8,688b0f250110d1205b4919d9
branch audit preparation,1,688b0fab0110d1205b4919e6
fraudulent wire transfer,8,688b10310110d1205b4919e9
fraud verification protocol,33,688b10310110d1205b4919ee
fraud detection update,7,688b0e9d0110d1205b4919d1
fraudulent wire transfer,8,688b0f250110d1205b4919da
branch audit notification,13,688b0f250110d1205b4919dc
advanced fraud detection,7,688b10310110d1205b4919ed
phishe attack response,25,688b10310110d1205b4919ef
fraud detection update,7,688b10310110d1205b4919f0
sentinel system update,29,688b10310110d1205b4919f1
branch audit preparation,1,688b10b80110d1205b4919f3
fraudulent wire transfer,8,688b10b80110d1205b4919f9
fraudulent wire transfer,8,688b10b80110d1205b4919fa
fraud detection update,7,688b10b80110d1205b4919fb
branch audit preparation,1,688b113e0110d1205b491a04
fraud system update,0,688b11c20110d1205b491a07
fraud detection update,7,688b12480110d1205b491a13
fraud detection upgrade,30,688b10b80110d1205b4919f2
fraud detection update,7,688b10b80110d1205b4919f5
fraud system update,0,688b10b80110d1205b4919f6
fraudulent wire transfer,8,688b10b80110d1205b4919f7
fraudulent wire transfer,8,688b10b80110d1205b4919f8
fraud system update,0,688b113e0110d1205b4919fc
fraud detection update,7,688b113e0110d1205b4919fd
fraudulent wire transfer,8,688b113e0110d1205b4919fe
branch audit notification,13,688b113e0110d1205b491a02
finacle system upgrade,35,688b113e0110d1205b491a03
phishe attack response,25,688b11c20110d1205b491a06
fraudulent transaction pattern,22,688b11c20110d1205b491a08
fraudulent wire transfer,8,688b11c20110d1205b491a0a
fraud detection update,7,688b12480110d1205b491a12
phishe attack patch,24,688b113e0110d1205b4919ff
branch audit preparation,1,688b11c20110d1205b491a09
fraud detection update,7,688b11c20110d1205b491a0c
branch audit preparation,1,688b11c20110d1205b491a0d
sentinel update implementation,31,688b11c20110d1205b491a0f
phishe attack detection,24,688b12480110d1205b491a10
finacle system maintenance,35,688b10b80110d1205b4919f4
branch audit preparation,1,688b113e0110d1205b491a00
branch audit preparation,1,688b113e0110d1205b491a01
fraud detection update,7,688b113e0110d1205b491a05
fraud detection update,7,688b11c20110d1205b491a0b
branch audit preparation,1,688b11c20110d1205b491a0e
malware signature update,30,688b12480110d1205b491a11
fraud system update,0,688b12cf0110d1205b491a1f
vigilance system upgrade,26,688b12cf0110d1205b491a20
fraud system update,0,688b12cf0110d1205b491a21
fraud system update,0,688b13570110d1205b491a27
phishe attack response,25,688b13db0110d1205b491a30
fraud detection upgrade,30,688b13db0110d1205b491a35
branch transaction audit,14,688b13db0110d1205b491a37
loan documentation request,12,688b145c0110d1205b491a38
branch audit preparation,1,688b12cf0110d1205b491a1b
finacle system upgrade,35,688b12cf0110d1205b491a1c
ach fraud update,7,688b12cf0110d1205b491a23
fraudulent wire transfer,8,688b13570110d1205b491a24
fraud system update,0,688b13570110d1205b491a2c
fraud system update,0,688b13db0110d1205b491a2e
branch transaction audit,14,688b13db0110d1205b491a31
phishe attack response,25,688b13db0110d1205b491a32
sentinel system upgrade,29,688b145c0110d1205b491a39
branch audit preparation,1,688b12480110d1205b491a14
sentinel system upgrade,29,688b12cf0110d1205b491a1a
fraud detection update,7,688b12cf0110d1205b491a1e
fiserv horizon maintenance,35,688b12cf0110d1205b491a22
branch audit preparation,1,688b13570110d1205b491a25
fraudulent wire transfer,8,688b13db0110d1205b491a2f
fraud system update,0,688b13db0110d1205b491a33
branch audit compliance,1,688b13db0110d1205b491a36
branch transaction audit,14,688b12480110d1205b491a15
fraud detection update,7,688b12480110d1205b491a16
branch audit notification,13,688b12480110d1205b491a17
phishe attack detection,24,688b12480110d1205b491a18
fraud detection update,7,688b12480110d1205b491a19
fraud detection update,7,688b12cf0110d1205b491a1d
branch audit preparation,1,688b13570110d1205b491a26
phishe attack response,25,688b13570110d1205b491a28
phishe attack response,25,688b13570110d1205b491a29
branch audit preparation,1,688b13570110d1205b491a2a
fraud system update,0,688b13570110d1205b491a2b
branch audit preparation,1,688b13570110d1205b491a2d
branch transaction audit,14,688b13db0110d1205b491a34
branch audit preparation,1,688b145c0110d1205b491a3a
fraud system update,0,688b14e40110d1205b491a45
vigilance system update,26,688b14e40110d1205b491a46
fraudulent wire transfer,8,688b14e40110d1205b491a47
branch audit compliance,1,688b14e40110d1205b491a4a
branch audit preparation,1,688b14e40110d1205b491a4b
loan application clarification,11,688b156c0110d1205b491a4e
fraudulent debit card,21,688b156c0110d1205b491a54
branch transaction audit,14,688b15ec0110d1205b491a56
branch audit preparation,1,688b15ec0110d1205b491a5f
fraud detection update,7,688b145c0110d1205b491a3d
fraud detection update,7,688b145c0110d1205b491a3e
fraudulent wire transfer,8,688b145c0110d1205b491a3f
fraud system upgrade,15,688b14e40110d1205b491a43
branch audit notification,13,688b156c0110d1205b491a4c
fraudulent transaction review,22,688b156c0110d1205b491a4f
aml rule revision,4,688b156c0110d1205b491a50
fraud detection upgrade,30,688b156c0110d1205b491a55
branch transaction audit,14,688b15ec0110d1205b491a59
fraud detection update,7,688b145c0110d1205b491a3b
fraudulent wire transfer,8,688b145c0110d1205b491a40
fraudulent wire transfer,8,688b14e40110d1205b491a49
fraud detection upgrade,30,688b156c0110d1205b491a4d
phishe attack response,25,688b156c0110d1205b491a53
branch audit preparation,1,688b15ec0110d1205b491a58
branch transaction audit,14,688b15ec0110d1205b491a5a
phishe attack response,25,688b15ec0110d1205b491a5c
fraud system update,0,688b15ec0110d1205b491a5d
fraud detection upgrade,30,688b15ec0110d1205b491a5e
fraudulent wire transfer,8,688b145c0110d1205b491a3c
sentinel update deployment,31,688b145c0110d1205b491a41
fraud detection update,7,688b14e40110d1205b491a42
branch audit preparation,1,688b14e40110d1205b491a44
fraud detection update,7,688b14e40110d1205b491a48
sentinel system update,29,688b156c0110d1205b491a51
