cluster_id,keywords,cluster_name
-1,"['fraudulent ach activity', 'los system upgrade', 'los training schedule', 'los system upgrade', 'los system upgrade', 'los training update', 'los system upgrade', 'los system upgrade', 'los system upgrade', 'los system upgrade', 'los system upgrade', 'los system upgrade']",Uncategorized Topics
0,"['fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update']",Fraud / System / Update
1,"['branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit compliance', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit compliance', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit compliance', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit schedule', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit compliance', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit compliance', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation']",Branch / Audit / Preparation
2,"['aml audit preparation', 'bsa aml audit', 'bsa aml audit', 'bsa aml audit', 'bsa aml audit', 'bsa aml audit', 'bsa aml audit']",Audit / Preparation
3,"['aml procedure update', 'aml threshold change', 'aml threshold revision', 'aml system update', 'aml procedure update', 'aml system upgrade']",Update / Procedure / Threshold
4,"['aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule update', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule update', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule update', 'aml rule revision', 'aml rule update', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision']",Rule / Revision / Update
5,"['los version upgrade', 'los update training', 'los version upgrade', 'los version upgrade', 'los version upgrade']",Version / Upgrade / Update
6,"['loan document revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision']",Loan / Revision / Documentation
7,"['fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'advanced fraud detection', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'ach fraud update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection tune', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection calibration', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection adjustment', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud patch deployment', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection patch', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection patch', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud patch deployment', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update']",Fraud / Detection / Update
8,"['fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent swift message', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'wire transfer verification', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'wire transfer threshold']",Wire / Transfer / Fraudulent
